yt_id,video_code
3,03232016_HW
5,09062017_PS
6,09282016_CEE
11,04112017_SS
17,10212015_SS
19,04202017_CEE
32,08202020_LS
39,06252020_TEI
43,04062017_SS
53,07112017_LS
57,08252017_SS
58,04042018_CEE
66,06202017_HW
75,08052020_HW
77,06172020_PS
78,06172020_PS
79,06172020_PS
80,06172020_PS
83,09262017_HW
84,09262017_HW
85,09262017_HW
86,09262017_HW
88,07212020_TEI
89,08272020_LS
93,10052019_HW
102,04122018_CEE
107,06142018_CEE
110,10102017_TEI
115,10012015_LS
119,04042018_SS
123,02062019_TEI
124,03092016_CEE
143,11172016_CEE
153,02202019_HW
163,11132017_SS
164,11132017_SS
165,11132017_SS
166,11132017_SS
217,03222017_CEE
218,03212019_SS
246,01252011_PS
259,02202018_SS
267,08052011_SS