Date,Program Title,Live Stream,YouTube Views,FB Views,Attendance (in seats),Hours,Program Series,Venue,Type of Program,Male Speakers,Female Speakers,People of Color (informal),# of Speakers,Partner/ event,Total Viewing,,,,,,
02/09/17,From Quarks to the Cosmos,,,,162,1.5,PS,Hyatt Regency Ballroom,Original,1,0,0,1,Quark Matter 2017,162,,,,,,
03/07/17,Speakeasy: Tales from the Sea: How do baby fish and other marine species find forever homes?,,,,51,1.5,LS,Pint,Speakeasy,1,0,0,1,Pint; Shedd,0,,,,,,
03/22/17,Recent Advances in CO2 Storage Science and Technology,7,,,133,1.5,CEE,"Perlstein Hall Auditorium, IIT",Original,0,1,0,1,WISER; IIT Armour College,7,,,,,,
03/30/17,Baseball: It’s Not Nuclear Physics—Or Is It?,28,,,75,1.5,PS,Harold Washington Library,Original,1,0,0,1,Harold Washington Library,28,,,,,,
04/06/17,The Usefulness of Useless Knowledge,66,,,55,1.5,SS,The Arts Club Chicago,Original,1,0,0,1,IAS,66,,,,,,
04/11/17,Making Things Meaningful in the Ice Age,43,,,109,1.5,SS,"Conaway Center, Columbia College",Original,0,1,0,1,Leakey; Columbia College,43,,,,,,
04/20/17,Extreme Science: The U.S. Antarctic Program,15,,,70,1.5,CEE,MTCC,Original,0,1,0,1,IIT College of Science,15,,,,,,
04/22/17,March for Science Chicago Booth,0,,,615,3.5,SS,Museum Campus,Booth,1,3,1,4,March for Science Chicago,0,,,,,,
04/23/17,Party for the Planet Booth,0,,,220,6,SS,Brookfield Zoo,Booth,0,4,0,4,Brookfield Zoo,0,,,,,,
04/24/17,Nothing Academic: Science-themed Improv,0,,,130,2,SS,Comedy Clubhouse,Original,12,6,1,19,ASBMB,0,,,,,,
05/02/17,How the new genome-editing technologies in agriculture will change our everyday lives,0,,,49,1.5,LS,Alliance Francais,Original,0,1,0,1,French Consulate Chicago; French Innovation Week,0,,,,,,
05/04/17,"Black holes, supernovae, Big Bang: why are gravitational waves a revolutionary discovery?",0,,,67,1.5,PS,Alliance Francais,Original,1,0,0,1,French Consulate Chicago; French Innovation Week,0,,,,,,
05/10/17,Urban Nature: Behind the Scenes,0,,,47,1.5,LS,"Arts & Cinema (Room 310), Columbia College",Original,3,0,0,3,"Columbia College, WTTW, The Chicago International Film Festival",0,,,,,,
06/12/17,Lawrence Krauss: The Greatest Story Ever Told—So Far,100,,,99,1.5,SS,Pritzker Military Museum & Library,Original,1,0,0,1,Bulletin of Atomic Scienctists; Illinois Science Council,100,,,,,,
06/20/17,"Dietary Supplements: Stories of Regulation, Safety, and Evidence",0,,,40,1.5,HW,The Radler,Speakeasy,0,1,0,1,Radler,0,,,,,,
07/11/17,Antibiotic Hunters: Discovering Drugs in the Ocean,,,,60,1.5,LS,The Radler,Speakeasy,1,0,0,1,Radler,0,,,,,,
08/25/17,Curators: Behind the Scenes of Natural History Museums with Lance Grande,27,,,62,2,SS,Chicago Maritime Museum,Original,1,0,0,1,Chicago Maritime Museum,27,,,,,,
09/06/17,Fermilab and the New Frontiers of Physics,169,,,107,2,PS,Harold Washington Library,Original,3,1,1,4,Fermi; Chicago Public Library,169,,,,,,
09/12/17,Chicago's Potemkin Village,,,,40,1.5,TEI,The Radler,Speakeasy,1,0,0,1,Radler,0,,,,,,
09/23/17,Fermilab's Open House Booth,,,,220,8,SS,Fermilab,Booth,3,3,2,6,Fermi,0,,,,,,
09/26/17,New Developments in Mental Health,57,,,60,2,HW,Northwestern Baldwin Auditorium,Original,1,3,1,4,"Chicago Chapter of the Society for Neuroscience; ARCS Foundation-Illinois, NAMI Chicago",57,,,,,,
10/10/17,Technology and Politics,,,,47,1.5,TEI,The Radler,Speakeasy,0,1,0,1,Radler,0,,,,,,
10/12/17,Alesi: The life and death of an ancestor,58,,,71,1.5,LS,Walter Payton High School,Original,1,0,1,1,Leakey,58,,,,,,
11/13/17,Unconscious Bias,104,,,139,1.5,SS,1871,Signature,1,3,1,4,"Horizon Pharma, 1871",104,,,,,,
11/15/17,Math-It's as easy as Pi!,74,,,97,1.5,SS,Roosevelt U - Gantz Hall,Signature,0,1,1,1,,74,,,,,,
12/12/17,In Awe of the Northern Lights,,,,124,1.5,PS,The Radler,Speakeasy,1,0,1,1,Radler,0,,,,,,
12/14/17,Strengthening Our Energy Security Future,,,,58,1.5,CEE,Alliance Francais,Original,3,0,0,3,Veteran's Energy Seminar,0,,,,,,
01/16/18,Genes and Geography,,,,75,1.5,LS,Pint,Speakeasy,1,0,0,1,Pint,0,,,,,,
02/06/18,Our Chemical Romance,,,,48,1.5,SS,Pint,Speakeasy,0,1,0,1,Pint,0,,,,,,
02/20/18,Investing in Science and Education: An Act of Faith,,,,70,1,SS,"Founders Room, Field Museum",Signature,1,0,0,1,Field,0,,,,,,
03/15/18,NU Women in STEM and Academia Booth,,,,25,2,SS,Prentice Women's Hospital,Booth,0,1,0,1,Nortwestern,0,,,,,,
03/19/18,Personalized Medicine,88,,,61,1.5,HW,Northwestern Baldwin Auditorium,Signature,2,2,0,4,Abbvie,88,,,,,,
03/23/18,Science Riot - 1st Show,,,,115,2,SS,"Rice Hall, Field Museum",Original,9,3,4,12,Science Riot,0,,,,,,
04/04/18,Challenges and Opportunities in an Emerging Solar Economy,,,,115,1.5,CEE,IIT Perlstein Hall,Original,1,0,1,1,"WISER, IIT Armour College of Engineering",0,,,,,,
04/04/18,Science is a Verb. We Must Get Sciencing. The World Requires It!,,,,43,2,SS,Fortnightly,Original,0,1,0,1,ARCS,0,,,,,,
04/05/18,Women in STEM Education and Career Fair at OKRFHS,,,,65,1.5,SS,Oak Park and River Forrest High School,Booth,0,3,0,3,OPRFHS,0,,,,,,
04/12/18,The Future of Trees: Hope in a Changing Climate,216,,,205,2,CEE,Morton Ginko Hall,Original,3,3,0,6,Morton,216,,,,,,
04/14/18,Speak up for Science,,,,50,3,SS,Field Museum,Booth,1,2,1,3,March for Science,0,,,,,,
04/20/18,Science Riot - 2nd Show,,,,158,2,SS,Theater on the Lake,Original,9,3,4,12,Science Riot,0,,,,,,
04/22/18,Party for the Planet Booth,,,,246,6,SS,Brookfield Zoo,Booth,1,3,0,4,Brookfield Zoo,0,,,,,,
05/07/18,Immersion in the Nanoworld,,,,49,1.5,TEI,Alliance Francais,Original,0,1,0,1,French Consulate Chicago; French Innovation Week,0,,,,,,
05/10/18,Climate Change and Viral Emergence in Humans and Domestic Animals,,,,55,1.5,CEE,Alliance Francais,Original,1,0,0,1,French Consulate Chicago; French Innovation Week,0,,,,,,
05/23/18,Origins of the Genus Homo,,,,184,1.5,LS,Harold Washington Library,Original,1,0,0,1,Leakey; Chicago Public Library,0,,,,,,
06/07/18,Columbia Explorers Academy Career Day,,,,53,2,SS,Columbia Explorers Academy,Booth,0,1,0,1,Columbia Explorers Academy,0,,,,,,
06/12/18,Mission to Mars: Team Composition,,,,65,1.5,SS,Galway Arms,Speakeasy,0,1,0,1,Galway Arms,0,,,,,,
06/14/18,Extreme Storms,261,,,55,2,CEE,Harold Washington Library,Original,2,2,1,4,Chicago Public Library,261,,,,,,
06/16/18,Science Friday Recording Booth,,,,60,1.5,SS,Harris Theater,Booth,1,1,0,2,"WBEZ, Science Friday",0,,,,,,
08/15/18,Sleep and Clocks: Windows to Health,,,,41,1.5,HW,Horner Park,Original,0,1,1,1,Chicago Park District,0,,,,,,
09/25/18,Head Banging: How Music and Concussions Affect Brain Health,69,,,19,1.5,HW,South Shore Cultural Center,Original,0,1,0,1,Chicago Park District,69,,,,,,
09/27/18,Science in Film: Lessons from the Movie Armageddon,77,,,52,2,PS,"Film Row Cinema, Columbia",Original,2,1,0,3,"Columbia College, Cinema and Television Arts Department; MIT Club of Chicago",77,,,,,,
10/02/18,Conversations for Science,,,,6,1.5,SS,Galway Arms,Speakeasy,2,0,1,2,Galway Arms,0,,,,,,
10/10/18,"Snapchat, Symphonies, and Synapses",,,,42,1.5,TEI,Motor Row Brewing,Speakeasy,0,1,0,1,MacArthur Foundation; Motor Row Brewing,0,,,,,,
11/08/18,What Makes Us Human?,,,,135,1.5,LS,Lincoln Park Zoo,Original,1,0,1,1,Leakey; Lincoln Park Zoo,0,,,,,,
11/09/18,Rise of the Warrior Apes,,,,73,2,LS,"Film Row Cinema, Columbia",Original,1,0,1,1,Leakey; Columbia College,0,,,,,,
11/12/18,Darsh Wasan Lecture Booth,,,,28,1,TEI,IIT Hermann Hall,Booth,0,1,0,1,IIT,0,,,,,,
11/28/18,Indigenous Science,,,,239,2,CEE,Chicago Cultural Center - Preston Bradley Hall,Original,2,1,3,3,Trickster Art Gallery; City of Chicago DCASE; Mitchell Museum; SACNAS NIU; SACNAS UChicago,0,,,,,,
12/05/18,Food Evolution,33,,,95,2.5,CEE,"Film Row Cinema, Columbia",Original,2,3,0,5,2Blades; Columbia College; Global Affairs; IFT,33,,,,,,
12/12/18,"Bionics, Robotics, and the Future of Rehabilitation",33,,,77,2.5,HW,Shirley Ryan AbilityLab,Signature,2,2,2,4,Shirley Ryan AbilityLab; WISE; Astellas,33,,,,,,
02/06/19,Array of Things,77,,,67,2,TEI,Harold Washington Library,Original,1,1,0,2,Argonne; City of Chicago Department of IT,77,,,,,,
02/20/19,"Mindfulness, Meditation, and Yoga",,,,29,2,HW,Jefferson Park,Original,0,1,0,1,Chicago Park District,0,,,,,,
02/27/19,WISER 2019 Lecture: New Directions in Strategic Energy Analysis,,,,96,1.5,CEE,"Perlstein Hall, IIT",Original,1,0,0,1,"WISER, IIT Armour College of Engineering",0,,,,,,
02/28/19,"Resilience, Empathy, Plasticity: Women in Neuroscience",124,,,141,2,LS,"McGowan South, DePaul ",Original,0,4,0,4,"DePaul, SNUC",124,,,,,,
03/12/19,Chicago Brain Buddies,,,,27,1.5,LS,Theater Wit,Original,1,2,1,3,Theater Wit; Chicago Brain Buddies,0,,,,,,
03/21/19,How Sexual Harassment Culture Infects Academia,49,,,35,2,SS,"Hughes Auditorium, NU",Original,0,3,2,3,UIC Women's Resources and Leadership Center; UIC College of Nursing; UIC Diversity; AWIS Chicago; GWIS Chicago; SACNAS UChicago; SACNAS NIU; Chicago Women in STEM Initiative,49,,,,,,
03/31/19,Symphony for our World Booth,,,,25,1,SS,Auditorium Theater,Booth,0,1,0,1,National Geographic (Innovation Arts and Entertainment),0,,,,,,
04/03/19,The Science of Star Wars,198,,,160,1.5,PS,Harold Washington Library,Original,1,0,0,1,Chicago Public Library,198,,,,,,
04/09/19,The LHC: From dark matter particles to extra dimensions,,,,67,1.5,PS,Alliance Francais,Original,1,0,0,1,French Consulate Chicago; French Innovation Midwest; UChicago; Alliance Francais,0,,,,,,
04/17/19,How Trees Can Help the World: Re-treeing Communities and Making the World a Cooler Place to Live,,,,175,2,CEE,Morton Ginko Hall,Original,4,2,0,6,Morton,0,,,,,,
04/26/19,Speaking at Depaul Neuro Class,,,,25,1,SS,"McGowan North, DePaul ",Booth,0,1,0,1,DePaul,0,,,,,,
05/09/19,Food for Thought,,,,40,1.5,HW,Ping Tom Memorial Park,Original,0,1,0,1,Chicago Park District,0,,,,,,
05/11/19,SPOT Workshop,,,,11,1,SS,"Pancoe Hall, Northwestern",Booth,1,4,0,5,SPOT,0,,,,,,
05/16/19,The Long and Short of Proteomics,,,,33,1.5,LS,Emporium Wicker Park,Speakeasy,2,0,0,2,Northwestern Chemistry of Life Institute; Northwestern Proteomics; Emporium Wicker Park,0,,,,,,
05/30/19,Lurie Prize Winner Lijian James Chen,52,,,78,2,LS,"Prentice Women's Hospital, Room L",Signature,2,0,1,2,Ann Lurie Trust,52,,,,,,
06/11/19,Does Recycling Still Matter?,187,,,140,1.5,CEE,Harold Washington Library,Original,2,2,1,4,Chicago Public Library; MWRD; BGA,187,,,,,,
07/23/19,Wild City: The Animals That Live Among Us,,,,81,1,LS,"UIC, Illinois B",Original,1,0,0,1,Animal Behavior Society,0,,,,,,
08/22/19,NUPA/CGSA Careers Symposium,,,,30,2,SS,"Potocsnak Atrium, Northwestern",Booth,0,1,0,1,"NUPA, CGSA",0,,,,,,
08/27/19,Tea or Coffee: It Might Depend On Your Genes,,,,54,1.5,HW,Osmium Coffee Bar,Speakeasy,0,1,0,1,Dark Matter Coffee,0,,,,,,
09/11/19,Urban Nature Walk,,,,45,1.5,LS,Northerly Island Park,Local,0,1,0,1,Chicago Park District,0,,,,,,
9/13/19,UIC PDA Career Development Symposium,,,,22,1,SS,"Student Center East, UIC",Booth,1,2,0,3,UIC Postdoctoral Association; Chientist,0,,,,,,
09/25/19,Leon Lederman Memorial,87,,,152,2,PS,Harold Washington Library,Signature,8,8,7,16,Fermi; Chicago Public Library,87,,,,,,
09/26/19,Talking Trees - Morton,,,,220,1.5,LS,Morton Thornhill,Original,2,0,0,2,Morton,0,,,,,,
10/05/19,Filtering the Facts of Kidney Health,,,,14,1,HW,Washington Fieldhouse,Local,0,1,1,1,Chicago Park District,0,,,,,,
10/16/19,The Earliest Child,346,,,124,1.5,LS,Harold Washington Library,Original,1,0,1,1,Leakey; Chicago Public Library,346,,,,,,
10/17/19,How to Communicate Facts in the Era of Fake News,,,,40,2,SS,Metis,Booth,1,3,0,4,Chicago Ideas Week; Metis,0,,,,,,
11/01/19,A Universe of Surprises,,,,27,1.5,PS,Dark Matter Lab,Speakeasy,1,1,0,2,Adler; Kavli Foundation; Dark Matter,0,,,,,,
11/13/19,CSI TECH: The Technology of Crime-Solving,,,,52,1.5,TEI,mHub,Original,3,1,1,4,"mHub, UChicago Crime Lab",0,,,,,,
11/21/19,The Art of Logic,100,,,129,1.5,SS,Harold Washington Library,Original,0,1,1,1,Chicago Public Library,100,,,,,,
12/06/19,The Case of Including Every(Body),52,,,19,2,SS,1871,Original,0,3,0,3,1871; Disability and Human Development UIC,52,,,,,,
12/10/19,How Psychotherapy Can Help Everyone,,,,12,1.5,HW,Harrison Park Fieldhouse,Original,0,1,0,1,Chicago Park District,0,,,,,,
01/27/20,We Believe in Dinosaurs,,,,149,2.5,SS,Gene Siskel Film Center,Original,1,3,0,4,137 Films,0,,,,,,
01/29/20,UIC Leadership and Service Booth,,,,33,2.5,SS,UIC Student Center East,Booth,0,2,1,2,UIC Student Leadership and Civic Engagement ,0,,,,,,
01/29/20,Cliff Dwellers - Human Environment Interaction in Amazonia,,,,70,1.5,CEE,Cliff Dwellers,Original,0,1,0,1,Cliff Dwellers,0,,,,,,
02/22/20,Many Pathways,,,,33,3.5,SS,Dvorak Park,Local,3,3,6,6,"Chicago Park District, Onli Packs",0,,,,,,
02/29/20,C2E2 Science of Star Wars,,,,212,1,SS,C2E2,Original,2,1,0,3,C2E2,0,,,,,,
03/10/20,CWISI,,,,52,,SS,Northwestern Prentice Hospital,Booth,0,2,1,2,CWISI,0,,,,,,
04/07/20,SFTF:Perceptions and Public Understanding of COVID-19,135,,135,,1,HW,Facebook Live,Original,0,1,0,1,RTI,135,,,,,,
04/09/20,SFTF:Fighting COVID-19!,157,,157,,1,HW,Facebook Live,Original,0,1,0,1,,157,,,,,,
04/16/20,SFTF:3D Printing PPE,176,,176,,1,TEI,Facebook Live,Original,1,0,0,1,"Idea Realization Lab, Illinois PPE Network",176,,,,,,
04/28/20,SFTF:Sir Run Run Shaw Hospital Program,22,,22,,1,HW,Website (recorded - embedded link),Original,5,5,10,10,Sir Run Run Shaw,22,,,,,,
05/07/20,SFTF:Racial Disparity in COVID-19 Panel,199,,199,,1,SS,Facebook Live,Original,1,3,4,4,,199,,,,,,
05/20/20,SFTF:Gender Disparity in COVID-19 Cases,68,,68,,1,SS,Facebook Live,Original,0,1,0,2,OKLAHOMA MEDICAL RESEARCH FOUNDATION,68,,,,,,
05/26/20,SFTF:Sanitizer and Spirits ,187,63,124,,1,SS,Facebook Live & YouTube,Original,0,1,0,1,"Koval, Greater Ravenswood Chamber of Commerce, Lincoln Square Ravenswood Chamber of Chamber Commerce",,,,,,,
06/02/20,SFTF: Virus Entry,169,85,84,,1,LS,Facebook Live & YouTube,Original,0,1,0,1,ChiTownBio,,,,,,,
06/17/20,"Art, Science, and the Elegant Universe",301,99,202,,1,PS,Facebook Live & Youtube ,Original,0,2,0,2,Fermilab,,,,,,,
06/25/20,Forensic Genomic Technologies: New Frontiers Bring New Considerations,171,104,67,,1,TEI,Facebook Live & Youtube ,Original,0,1,0,1,IGB,171,,,,,,
06/30/20,An Evening into the Multiverse,198,83,115,,1,SS,Facebook Live & YouTube,Original,1,1,2,2,"Chicago Public Library, UIC Latino Cultural Center, WindyCon",175,,,,,,
07/02/20,Neutrino 2020 Physics Slam,341,227,114,,1,PS,Facebook Live & YouTube,Original,2,2,1,4,"Fermilab, Neutrino 2020",341,,,,,,
07/09/20,SFTF: Engineering at the Service of Humanity,109,67,42,,1,TEI,Facebook Live & YouTube,Original,1,0,1,1,IGB; Chicago Engineers' Foundation,109,,,,,,
07/21/20,3D Printing in Action: An Introduction to Digital Fabrication,117,50,67,,1,TEI,Facebook Live & YouTube,Original,0,1,0,1,Homewood Science Center,117,,,,,,
08/05/20,Mindfully Coping: Strategies for Children and Families During a Pandemic,105,57,48,,1,HW,Facebook Live & YouTube,Original,1,0,1,1,NAMI,120,,,,,,
08/20/20,The Study of Ancient DNA: Knowledge from Unexpected Sources,114,65,49,,1,LS,Facebook Live & YouTube,Original,1,1,1,2,IGB; Kleinmutz Center,114,,,,,,
08/27/20,Lessons in Biology Taught by a Pathogen,107,76,31,,1,LS,Facebook Live & YouTube,Original,1,0,0,1,Chitown Bio,107,,,,,,
09/01/20,UIC Involvement Fair,24,0,0,,,SS,Booth,Original,0,2,,,,,,,,,,
09/24/20,The Power of Genomics: Optimzing Health Outcomes & Wildlife Conservation,88,0,88,,1,LS,Facebook Live & YouTube,Original,1,0,0,1,IGB; Kleinmuntz Center,,,,,,,
10/12/20,Deploying SHIELD: To Illinois and Beyond,125,43,82,,1,HW,Facebook Live & YouTube,Original,2,0,0,2,University of Illinois System,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Mean,,Q1:,,98.00796813,49.5,,,,,,,,,,,,,,,
,Median,,Q2:,,68,70,,,,,,,,,,,,,,,
,Mode,,Q3:,,60,122.5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Total (2008-2019),7153,976,1788,24868,,,,,,,,,,,,,,,,
,Grand total,32021,,,25149,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,attendance by year:,Speakeasy,Booth,,Original,Local,Online,In Seat+Online,# of Programs,Total hours of programming,average attendance,avg. Original,avg. Speakeasy attendance,avg. Booth,avg. Online,avg. Local,avg. Total,# Speakers,#Female Speakers,prop. women,prop. POC
July 2007-June 2008,491,,,,,,,491,5,7.5,98.20,,,,,,,1,,,
July 2008-June 2009,2048,,,,,,,2048,12,19.5,170.67,170.67,,,,,,14,,,
July 2009-June 2010,2822,,,,,,,2822,17,24,166.00,166,,,,,,33,,,
July 2010-June 2011,1350,0,,,1760,,,1350,15,19.5,90.00,117.3333333,,,,,,25,3,0.1428571429,
July 2011-June 2012,1461,0,,,1516,,,1461,16,22.5,91.31,94.75,,,,,,40,21,0.4285714286,
July 2012-June 2013,1850,0,,,2040,,433,2283,17,23,108.82,120,,,54.125,,152.2,30,10,0.3571428571,
July 2013-June 2014,1473,0,,,1473,,665,2138,16,24.5,92.06,92.0625,,,60.45454545,,133.625,27,5,0.1923076923,
July 2014-June 2015,2399,373,,,2134,,167,2566,28,38,85.68,118.5555556,37.86,,23.85714286,,99.03703704,57,23,0.4035087719,0.0468
July 2015-June 2016,1950,641,,,1201,394,133,2083,30,45.5,65,100.0833333,41.61111111,,22.16666667,78.8,70.53571429,46,21,0.4565217391,0.304
July 2016-June 2017,2897,368,952,,1577,1500,429,3326,29,76,99.89655172,92.76470588,40.88888889,317.3333333,42.9,150,54,61,27,0.4426229508,0.06557377049
July 2017-June2018,2882,459,719,,1704,1589,1054,3936,32,65,90.0625,94.66666667,65.57,102.7142857,117.1111111,99.3125,32.9375,89,40,0.4494382022,0.2134831461
July 2018-June 2019,1956,81,89,,1786,1164,899,2855,27,45,72.44444444,89.3,27.00,22.25,89.90,89.53846154,33.2962963,61,33,0.5409836066,0.2295081967
July 2019-June 2020,1570,81,92,,1312,391,2368,3938,32,23,75.90,84.8,40.50,30.67,177.67,63.17,39.00,42,24,0.5714285714,0.2619047619
July 2020-June 2021,0,97,233,,759,433,1130,1130,9,24.5,74.45,75.9,48.50,77.67,146.25,47.33,39.00,45,27,0.6,0.2444444444
Mean (2008-2020):,2098.909091,384.4,586.6666667,,1687.888889,1417.666667,536.4,2953.2,21.72727273,36.59090909,100.47,114.20,42.59,147.43,51.51,104.41,57.96,43.90909091,20.7,0.3793282657,0.1868783125
Total,25149,1841,1671,,13405,3089,2881,31297,285,410,,,436,,,,,523,150,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,#DIV/0!,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,58.64492373,,,,,,